year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2003,Cadillac,Seville,STS,automatic,Texas,125037.0,white,gray,caprock auto remarketing,800.0
2012,Ford,F-350 Super Duty,XLT,automatic,Texas,101195.0,silver,black,remarketing by ge/ak&y enterprises inc,22900.0
2010,Chevrolet,Tahoe,LT,automatic,Texas,94249.0,silver,gray,tdaf remarketing,17800.0
2013,Kia,Forte,EX,automatic,Texas,57176.0,black,gray,the hertz corporation,8200.0
2013,Chevrolet,Equinox,LS,automatic,Texas,65534.0,white,—,ge fleet services for itself/servicer,12500.0
2014,Toyota,Camry,LE,automatic,Texas,38347.0,gray,—,avis corporation,13800.0
2012,Mercedes-Benz,S-Class,S550,automatic,Texas,35606.0,black,black,mercedes-benz financial services,43750.0
2007,Pontiac,G6,GT,automatic,Texas,106745.0,gray,gray,san antonio dodge chrysler jeep,4700.0
2005,Lincoln,Aviator,Luxury,UNKNOWN,Texas,114736.0,black,tan,dt credit corporation,6700.0
2011,Hyundai,Sonata,SE,automatic,Texas,120837.0,gray,gray,santander consumer,4300.0
2008,Chrysler,Aspen,Limited,automatic,Texas,93214.0,silver,gray,mike motors,9000.0
2014,Buick,Verano,Convenience Group,automatic,Texas,34638.0,silver,beige,mid city mcandrew motors,13500.0
2010,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Texas,106736.0,black,tan,howell motor company,16800.0
2012,Nissan,Altima,2.5 S,automatic,Texas,29336.0,silver,black,nissan-infiniti lt,13600.0
2005,Nissan,Maxima,3.5 SL,automatic,Texas,141661.0,silver,—,dt credit corporation,3100.0
2012,Nissan,Altima,2.5,automatic,Texas,38723.0,white,tan,nissan-infiniti lt,14400.0
2011,Dodge,Charger,Base,automatic,Texas,93181.0,gray,black,santander consumer,11900.0
2014,Chevrolet,Malibu,LTZ,automatic,Texas,21520.0,white,—,tdaf remarketing,19700.0
2013,Ford,Escape,SE,automatic,Texas,92679.0,silver,gray,ge fleet services for itself/servicer,11200.0
2001,Dodge,Durango,Sport,automatic,Texas,253548.0,white,brown,titlemax/san antonio tx24,1000.0
2011,Kia,Sorento,Base,automatic,Texas,105255.0,black,tan,santander consumer,9200.0
2008,Nissan,Rogue,SL,automatic,Texas,82255.0,orange,black,santander consumer,9600.0
2012,Honda,Odyssey,EX,automatic,Texas,30500.0,beige,tan,cm investments,20000.0
2014,Ford,Fusion,Titanium,automatic,Texas,15564.0,red,black,ford motor credit company llc,20700.0
2011,Infiniti,G Sedan,G37x,automatic,Texas,41282.0,gray,black,nissan infiniti lt,17200.0
2014,Kia,Forte,LX,automatic,Texas,30667.0,gray,black,kia motors finance,12000.0
2013,Nissan,Pathfinder,S,automatic,Texas,27852.0,black,black,nissan motor acceptance corporation,20600.0
2013,Ram,1500,Sport,automatic,Texas,39320.0,black,black,primeritus remarketing/mag interests,27800.0
2005,Chrysler,PT Cruiser,Touring,UNKNOWN,Texas,92904.0,black,—,titlemax/fort worth tx5,1000.0
2006,Dodge,Charger,SE,automatic,Texas,117237.0,silver,black,dt inventory,5000.0
2013,Honda,Insight,Base,automatic,Texas,36483.0,gray,gray,avis corporation,11400.0
2011,Dodge,Journey,Express,automatic,Texas,107096.0,silver,black,dt credit corporation,6400.0
2010,Nissan,Murano,S,automatic,Texas,67919.0,burgundy,tan,edwards motor company inc,15400.0
2009,Chevrolet,Silverado 1500,LT,UNKNOWN,Texas,75394.0,white,black,brunson auto sales,21800.0
2011,Honda,Civic,Hybrid,automatic,Texas,117411.0,black,tan,frank kent honda,5600.0
2007,Lexus,IS 250,Base,automatic,Texas,131360.0,silver,gray,nextgear capital,8500.0
2014,Kia,Sorento,EX,automatic,Texas,37853.0,white,black,stanley chrysler - dodge - jeep - gatesville,21500.0
2008,Honda,CR-V,EX,automatic,Texas,106871.0,black,tan,santander consumer,9200.0
2010,Toyota,Corolla,LE,automatic,Texas,37928.0,gray,gray,autonation honda lewisville,6800.0
2013,Toyota,Camry Hybrid,LE,automatic,Texas,76121.0,white,—,ge fleet services for itself/servicer,12200.0
2009,Chevrolet,Silverado 1500,LT,automatic,Texas,232233.0,burgundy,gray,fleet dodge,6900.0
2012,Ford,Escape,XLT,automatic,Texas,81474.0,—,beige,donlen corporation,10400.0
2010,Ford,Taurus,Limited,automatic,Texas,51311.0,silver,beige,ge fleet services for itself/servicer,12900.0
2013,Dodge,Grand Caravan,SE,automatic,Texas,18692.0,blue,black,chrysler capital,15300.0
2005,Volvo,S40,T5,automatic,Texas,175499.0,white,black,bmw of houston north in the woodlands,2600.0
2013,Dodge,Grand Caravan,SXT,automatic,Texas,58797.0,silver,black,the hertz corporation,12400.0
2014,Nissan,Altima,2.5 S,automatic,Texas,22123.0,beige,gray,nissan north america inc.,17400.0
2013,Buick,LaCrosse,Leather Group,automatic,Texas,43985.0,silver,black,tdaf remarketing,13500.0
2014,Ford,F-150,XLT,automatic,Texas,23396.0,—,gray,ars/enterprise,23700.0
2015,Ford,Explorer,Sport,automatic,Texas,21898.0,—,black,budget rac of memphis,34000.0
2010,Chrysler,300,Touring,automatic,Texas,79203.0,gray,gray,d&m leasing,9500.0
2012,Ford,Focus,Titanium,automatic,Texas,29243.0,—,black,ford motor credit company llc,14900.0
2010,Ford,F-150,Lariat,automatic,Texas,163656.0,white,tan,hopper motorplex inc,12900.0
2008,Buick,Enclave,CXL,automatic,Texas,97550.0,white,gray,santander consumer,11300.0
2015,Chevrolet,Silverado 1500,LT,automatic,Texas,13354.0,gray,black,hopper motorplex inc,37250.0
2010,Chrysler,Town and Country,Touring,automatic,Texas,89039.0,silver,gray,huffines chrysler jeep dodge lewisville,7000.0
2005,Ford,Taurus,SE,automatic,Texas,99206.0,white,gray,dt inventory,1600.0
2009,Dodge,Grand Caravan,SE,automatic,Texas,86597.0,white,gray,remarketing by ge/midsouth capital lp,5800.0
2012,Infiniti,G Sedan,G37 Journey,automatic,Texas,64677.0,black,black,nissan infiniti lt,15000.0
2014,Jeep,Compass,Sport,automatic,Texas,36813.0,black,gray,enterprise veh exchange/rental,13300.0
2011,Mazda,CX-9,Grand Touring,automatic,Texas,76884.0,black,black,jpmorgan chase bank n.a.,17400.0
2013,Hyundai,Elantra,GLS,automatic,Texas,54380.0,blue,gray,the hertz corporation,7400.0
2014,Ford,Mustang,V6,automatic,Texas,19238.0,red,black,brac of wichita - wichita landsman,18000.0
2012,Chevrolet,Traverse,LS,automatic,Texas,25283.0,blue,gray,texas auto brokers,17100.0
2006,Mercury,Mariner,Luxury,UNKNOWN,Texas,98782.0,gray,tan,improved credit lending,5400.0
2013,Nissan,Altima,2.5,automatic,Texas,50762.0,burgundy,black,the hertz corporation,12500.0
2011,Acura,MDX,Base,automatic,Texas,58689.0,gray,black,texas rv outlet superstore,27000.0
2013,Nissan,Armada,SL,automatic,Texas,22771.0,black,black,nissan north america inc.,28800.0
2004,Cadillac,CTS,Base,automatic,Texas,144151.0,gray,gray,dt credit corporation,3300.0
2004,Dodge,Ram Pickup 1500,ST,automatic,Texas,82617.0,gray,beige,dt inventory,3600.0
1994,Ford,Explorer,XLT,automatic,Texas,63137.0,green,gray,titlemax/windcrest tx1,500.0
2007,Buick,LaCrosse,CX,automatic,Texas,176993.0,beige,tan,dt credit corporation,1500.0
2007,Dodge,Charger,Base,automatic,Texas,247173.0,black,gray,automotive remarketing inc,1500.0
