year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2007,Nissan,Sentra,2,automatic,California,76329.0,blue,gray,california auto exchange,6700.0
2012,Mercedes-Benz,C-Class,C250 Sport,automatic,California,30563.0,—,black,mercedes-benz financial services,21500.0
2015,Nissan,Altima,2.5 S,automatic,California,12978.0,red,black,enterprise veh exchange/rental,16600.0
2005,chrysler,pacifica,awd v6 touring,manual,California,57890.0,black,black,felix chevrolet & cadillac,1200.0
2006,Mercedes-Benz,R-Class,R350,automatic,California,74773.0,black,black,american road leasing inc,9000.0
2008,BMW,3 Series,335i,UNKNOWN,California,105788.0,white,—,champion chrysler jeep dodge,10000.0
2013,Kia,Sportage,LX,automatic,California,40331.0,gray,gray,avis rac/san leandro,15200.0
1993,Honda,Accord,EX,automatic,California,168792.0,white,blue,north county hyundai,1200.0
2009,BMW,X5,xDrive48i,automatic,California,47403.0,white,black,onemain rem/m&m auto traders,25500.0
2012,Ford,Fiesta,SE,automatic,California,54292.0,gray,black,ford motor credit company llc pd,8900.0
2013,Toyota,Corolla,S Special Edition,automatic,California,54251.0,blue,gray,fox rent a car,10500.0
2013,Nissan,Altima,2.5,automatic,California,8154.0,black,black,nissan motor acceptance corporation,18250.0
2014,Chrysler,200,LX,automatic,California,22220.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,2200.0
2013,Ford,Focus,SE,automatic,California,25285.0,gray,gray,gm financial,10000.0
2012,Chevrolet,Volt,Base,automatic,California,35412.0,black,black,fiserv/usb dealer services northstar exchange,17300.0
2009,BMW,3 Series,328i,automatic,California,94866.0,white,brown,prestige auto,12000.0
2013,Ford,C-Max Hybrid,SEL,automatic,California,26529.0,green,beige,mercedes benz of temecula,15000.0
2014,Volkswagen,Passat,SE PZEV,automatic,California,5524.0,white,black,vw credit,17250.0
2006,Mitsubishi,Lancer Evolution,IX,manual,California,99237.0,red,black,clear view systems,12500.0
2013,Chevrolet,Suburban,LTZ 1500,automatic,California,63529.0,white,black,dtg operations inc,12800.0
2013,Chevrolet,Equinox,LTZ,automatic,California,62169.0,silver,black,the hertz corporation,16500.0
2006,Bentley,Continental Flying Spur,Base,automatic,California,42929.0,blue,tan,high bid trading co inc,55000.0
2006,Chrysler,300,Touring,automatic,California,132171.0,gray,beige,m l sim,5000.0
2006,Ford,F-150,XLT,automatic,California,159366.0,white,gray,remarketing by ge/finance & thrift company,7400.0
2008,BMW,5 Series,528i,automatic,California,136039.0,gray,black,bmw of murrieta,8600.0
2005,Volkswagen,New Beetle,GL,automatic,California,74952.0,red,black,the car exchange,2900.0
2013,Honda,Civic,Si,manual,California,21012.0,blue,black,ahfc/honda lease trust/hvt  inc. eot,19900.0
2009,Ford,Flex,SEL,automatic,California,122577.0,blue,black,first investors servicing corp,7700.0
2011,Hyundai,Genesis,3.8,automatic,California,75817.0,silver,black,tustin hyundai,12350.0
2012,mitsubishi,galant,fe,automatic,California,69457.0,black,black,dtg operations inc,7500.0
2011,Toyota,Camry,SE,automatic,California,92494.0,white,black,santander consumer,9500.0
2012,Audi,A4,2.0T Premium,automatic,California,22641.0,black,black,rusnak pasadena jaguar sterling pasadena,22500.0
2007,Saturn,Outlook,XE,automatic,California,80404.0,white,gray,clear view systems,7000.0
2013,Infiniti,QX,QX56,automatic,California,56241.0,gray,—,the hertz corporation,37001.0
2012,Honda,CR-V,EX-L,automatic,California,44065.0,white,brown,ahfc/honda lease trust/hvt  inc. eot,20700.0
2013,Mercedes-Benz,C-Class,C250 Sport,automatic,California,14147.0,white,black,mercedes-benz financial services,22500.0
2012,Audi,A3,2.0T Premium,automatic,California,42617.0,black,black,skyhigh remarketing inc,16000.0
2012,BMW,5 Series,535i,automatic,California,60878.0,black,black,financial services remarketing (lease),24900.0
2009,Lincoln,MKX,Base,automatic,California,101263.0,black,beige,walters auto sales/service inc,11700.0
2006,Toyota,Corolla,S,manual,California,141589.0,blue,black,800 loan mart,2700.0
2012,Infiniti,G Sedan,G37 Journey,automatic,California,17598.0,gray,black,nissan infiniti lt,20500.0
2012,Ford,Fiesta,SE,automatic,California,21315.0,black,black,elite auto sales/leasing,8300.0
2013,Nissan,Sentra,FE+ S,automatic,California,39218.0,gray,black,nissan dealer blend/ross nissan of el monte,13000.0
2013,Dodge,Challenger,SXT,automatic,California,31802.0,white,black,enterprise vehicle exchange / tra / rental / tulsa,13600.0
2008,Saturn,Outlook,XR,automatic,California,102481.0,red,beige,honda of pasadena,9500.0
1999,Toyota,Land Cruiser,Base,automatic,California,186491.0,green,—,lexus of marin,7000.0
2011,BMW,5 Series,535i,automatic,California,47803.0,gray,—,financial services remarketing (lease),26000.0
2002,Toyota,Highlander,Base,automatic,California,168232.0,white,gray,three way chevrolet co,9000.0
2012,Nissan,Altima,2.5 S,automatic,California,62646.0,silver,black,the hertz corporation,11250.0
2005,Mitsubishi,Outlander,LS,automatic,California,130483.0,white,black,foreman financial  inc,2400.0
2013,Mercedes-Benz,GLK-Class,GLK350,automatic,California,19870.0,black,—,mercedes-benz financial services,29250.0
2009,Saturn,Aura,XE,automatic,California,78925.0,blue,gray,nvp remarketing,5000.0
2010,ford,e350,club wagon xlt,automatic,California,90184.0,white,gray,vpsi  inc,12500.0
2012,MINI,Cooper,Base,automatic,California,10529.0,white,—,bmw mini financial services,14500.0
2014,Kia,Cadenza,Premium,automatic,California,18928.0,blue,beige,kia motors finance,20500.0
2012,Ford,Edge,SEL,automatic,California,45631.0,black,black,ford motor credit company llc pd,20000.0
2010,Scion,tC,Base,manual,California,70484.0,black,black,co car toyota motor sales,7500.0
2014,Chrysler,Town and Country,Touring,automatic,California,40213.0,gray,black,enterprise vehicle exchange/orange,18100.0
2012,Ford,E-Series Van,E-150,UNKNOWN,California,51918.0,white,gray,ge fleet services for itself/servicer,15500.0
2002,Chevrolet,Monte Carlo,SS,automatic,California,179428.0,white,beige,sammy's enterprise & sales,850.0
2013,Chevrolet,Equinox,LTZ,automatic,California,51507.0,white,black,the hertz corporation,16100.0
2009,Ford,Ranger,SPORT,automatic,California,106431.0,blue,black,premium auto wholesale,9000.0
2013,BMW,3 Series,328i,automatic,California,31816.0,white,black,avis corporation,24750.0
2011,Chevrolet,Silverado 1500,Work Truck,automatic,California,103025.0,white,black,aaero sweet company,11500.0
2004,Isuzu,Rodeo,S,automatic,California,92018.0,red,beige,california auto wholesale,6000.0
2011,Toyota,Camry,LE,automatic,California,44118.0,gold,beige,century dealer services corp,12750.0
2011,Honda,CR-V,EX-L,automatic,California,32915.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,15500.0
2013,Chevrolet,Malibu,LT,automatic,California,57604.0,silver,black,fox rent a car,12000.0
2014,Hyundai,Veloster,Base,automatic,California,11000.0,yellow,black,hyundai motor america/co car,17000.0
2013,Nissan,Altima,2.5,UNKNOWN,California,22439.0,beige,gray,nissan-infiniti lt,14000.0
1997,Mercury,Grand Marquis,LS,automatic,California,92044.0,blue,blue,prados auto sales/auction,1800.0
2005,BMW,6 Series,645Ci,automatic,California,69777.0,gray,beige,audi north scottsdale,15300.0
2012,BMW,3 Series,335i,automatic,California,37543.0,gray,—,financial services remarketing (lease),27250.0
2010,Ford,Transit Connect,Cargo Van XLT,automatic,California,106402.0,white,gray,ge fleet services for itself/servicer,8750.0
2007,ford,expeditn,el 4x2 xlt,automatic,California,132786.0,white,brown,santander consumer,6600.0
2007,Nissan,Altima Hybrid,Base,automatic,California,85494.0,black,gray,onemain rem/delta dealer,8300.0
2004,Kia,Sedona,EX,UNKNOWN,California,119146.0,blue,gray,credit acceptance corp/vrs/southfield,1300.0
2011,Nissan,Rogue,S,automatic,California,27507.0,black,black,nissan-infiniti lt,13250.0
2014,Toyota,Yaris,LE,automatic,California,35206.0,silver,black,enterprise vehicle exchange / tra / rental / tulsa,8700.0
2005,nissan,350z,UNKNOWN,automatic,California,87861.0,black,—,auto depot,6000.0
2001,Honda,Accord,EX,manual,California,170962.0,black,—,apexcars net,1200.0
2011,Volkswagen,Jetta,Base,manual,California,41567.0,gray,black,vw credit,6250.0
2011,BMW,3 Series,328i,automatic,California,25219.0,gray,gray,financial services remarketing (lease),21500.0
2014,Ford,Fusion,Titanium,automatic,California,18865.0,black,black,ford motor credit company,20400.0
2000,Buick,Regal,GS,automatic,California,77369.0,silver,gray,aaero sweet company,1900.0
2013,Infiniti,G Sedan,G37 Journey,manual,California,23622.0,gray,black,nissan infiniti lt,25000.0
2012,Mercedes-Benz,C-Class,C250 Sport,automatic,California,41265.0,—,black,mercedes-benz financial services,20000.0
2000,BMW,M,Base,manual,California,166346.0,blue,blue,high bid trading co inc,5500.0
2013,Nissan,Altima,2.5 S,automatic,California,39426.0,white,black,avis corporation,13800.0
2008,Scion,tC,Base,automatic,California,61767.0,silver,black,newport acceptance corp,6000.0
2012,smart,fortwo,passion coupe,automatic,California,10973.0,black,black,mercedes-benz financial services,6250.0
2013,Nissan,Sentra,SR,automatic,California,24802.0,gray,black,visalia ford,12500.0
2010,Nissan,Titan,SE,automatic,California,79986.0,red,black,tdaf remarketing,12750.0
2013,Ford,Escape,Titanium,automatic,California,83203.0,black,black,m/r motors inc,15500.0
2011,BMW,3 Series,328i,automatic,California,61088.0,gray,black,financial services remarketing (lease),15300.0
2014,Infiniti,Q50,Base,UNKNOWN,California,26430.0,blue,black,gm financial,24500.0
2003,HUMMER,H2,Base,automatic,California,92653.0,gold,tan,remarketing by ge/chase lease remarketing co,13100.0
2013,Nissan,Altima,2.5,automatic,California,24185.0,black,black,california republic bank,12900.0
2012,Honda,Accord,LX-P,automatic,California,35616.0,silver,black,reliance motors llc,13900.0
2013,Ford,Edge,SEL,automatic,California,20566.0,white,beige,ford motor credit company llc pd,24100.0
2004,Jeep,Grand Cherokee,Laredo,automatic,California,124649.0,gray,gray,hertz remarketing,5000.0
2007,Honda,Civic,EX,automatic,California,113339.0,white,tan,sky touch imports inc,8100.0
2012,Mercedes-Benz,C-Class,C250 Sport,automatic,California,18702.0,—,gray,mercedes-benz financial services,18000.0
2003,Toyota,Camry,LE,automatic,California,168975.0,silver,—,south county fiat at mission viejo,4300.0
2002,Mitsubishi,Montero,Limited,automatic,California,129631.0,red,beige,volkswagen of murrieta,1800.0
2011,Infiniti,G Sedan,G37 Journey,automatic,California,29232.0,black,black,california rent-a-car & leasing,19500.0
2002,Toyota,Highlander,Base,automatic,California,163663.0,silver,silver,car trackers,7250.0
2013,Mitsubishi,Outlander Sport,LE,automatic,California,36035.0,red,black,avis rac/san leandro,16000.0
2005,Chrysler,Crossfire,Limited,manual,California,61504.0,red,black,trade in solutions irvine,6300.0
2008,Ford,F-350 Super Duty,XLT,automatic,California,66348.0,black,black,titlemax/upland ca1,23000.0
1997,Chrysler,Sebring,JXi,automatic,California,109371.0,black,gray,enterprise car sales/orange,500.0
