year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2001,Ford,Windstar,LX,automatic,Georgia,152751.0,beige,beige,jaguar porsche volvo of greenville,1400.0
2013,Ford,Fusion Hybrid,SE,automatic,Georgia,90179.0,blue,black,ge fleet services for itself/servicer,10600.0
2006,Mitsubishi,Lancer,ES,automatic,Georgia,114473.0,silver,gray,cdc fcu,2700.0
2014,Buick,Enclave,Leather Group,UNKNOWN,Georgia,26938.0,white,black,kern automotive group inc,31000.0
2007,Chevrolet,Uplander,LS,automatic,Georgia,177273.0,silver,gray,santander consumer,1400.0
2001,Ford,F-150,XL,manual,Georgia,343887.0,white,gray,nalley honda,1100.0
2012,Ford,Explorer,XLT,automatic,Georgia,26023.0,gray,black,ford motor credit company llc pd,26600.0
2008,Lexus,ES 350,Base,automatic,Georgia,141493.0,black,beige,autonation volkswagen mall of georgia,9300.0
2011,Kia,Optima,LX,automatic,Georgia,63129.0,burgundy,beige,capital one auto finance,10700.0
2010,Chevrolet,Tahoe,LTZ,automatic,Georgia,106916.0,black,black,t. james motorsports llc,23900.0
2005,Ford,F-150,FX4,UNKNOWN,Georgia,188437.0,black,black,nalley ford sandy springs,5500.0
2007,Chevrolet,Impala,SS,automatic,Georgia,101349.0,silver,gray,jpmorgan chase bank n.a.,5900.0
2010,Dodge,Caliber,SXT Fleet,UNKNOWN,Georgia,70924.0,white,black,santander consumer,5900.0
2014,Ford,F-150,FX4,automatic,Georgia,12139.0,white,black,ars/thrifty car rental/greer,37000.0
2008,Ford,Escape,XLT,automatic,Georgia,152470.0,green,gray,santander consumer,3100.0
2014,Kia,Forte,LX,automatic,Georgia,36069.0,brown,black,jpmorgan chase bank n.a.,10900.0
2014,Mercedes-Benz,CLA-Class,CLA45 AMG,automatic,Georgia,3785.0,white,black,mercedes-benz usa,46000.0
2008,Ford,Ranger,XL,UNKNOWN,Georgia,53826.0,white,black,crescent automotive corp inc,9800.0
2014,Ford,Fusion,Titanium,automatic,Georgia,41629.0,black,black,international auto group inc,17300.0
2007,Nissan,Frontier,SE,automatic,Georgia,117224.0,gray,beige,young motors llc,10100.0
2003,Mercedes-Benz,E-Class,E500,automatic,Georgia,207444.0,black,black,nalley infiniti decatur,3400.0
2012,Infiniti,G Sedan,G25,automatic,Georgia,30166.0,gray,black,nissan infiniti lt,18800.0
2013,Porsche,911,Carrera 4S,automatic,Georgia,9332.0,black,black,porsche financial services,92500.0
2004,Lincoln,Navigator,Luxury,UNKNOWN,Georgia,148566.0,silver,gray,auto one acceptance llc,2200.0
2012,Ford,Escape,XLS,automatic,Georgia,36634.0,black,tan,ford motor credit company llc,12100.0
2006,Volkswagen,Passat,2.0T,automatic,Georgia,169216.0,gray,gray,vw credit,800.0
2008,Chevrolet,HHR,LT,automatic,Georgia,90923.0,gray,gray,asbury automotive group,4900.0
2012,Chevrolet,Cruze,1LT,automatic,Georgia,43041.0,white,black,wells fargo dealer services,9000.0
2012,Chrysler,200,Touring,automatic,Georgia,47172.0,silver,black,santander consumer,8800.0
2007,Ford,Focus,ZX4 SE,UNKNOWN,Georgia,109441.0,black,gray,just right auto deals,2000.0
2010,Dodge,Charger,SXT Fleet,automatic,Georgia,95715.0,black,black,t. james motorsports llc,10000.0
2014,Ford,F-150,FX4,automatic,Georgia,12173.0,white,black,ars/thrifty car rental/greer,37100.0
2013,Toyota,Sienna,Limited 7-Passenger,automatic,Georgia,26105.0,gray,gray,world omni financial corporation,26700.0
2014,Buick,Regal,Premium I,automatic,Georgia,21384.0,beige,gray,gm financial,18800.0
