year,make,model,trim,transmission,state,odometer,color,interior,seller,selling_price
2011,Ford,F-150,Lariat,UNKNOWN,Florida,74530.0,beige,tan,remarketing by ge/manheim pensacola,21500.0
2006,Chevrolet,Equinox,LT,automatic,Florida,96478.0,black,beige,santander consumer,5700.0
2005,Volkswagen,New Beetle,GLS,automatic,Florida,83010.0,gray,red,westlake financial services,2900.0
2003,Ford,Crown Victoria,LX,automatic,Florida,86141.0,white,gray,regional acceptance corporation / greenville,3700.0
2011,Toyota,RAV4,Base,automatic,Florida,37336.0,black,gray,world omni financial corporation,14100.0
2008,Chrysler,Town and Country,LX,automatic,Florida,162161.0,blue,gray,platinum auto finance llc,2900.0
2012,Chevrolet,Impala,LT Fleet,automatic,Florida,72237.0,silver,—,nicholas financial inc/clearwater,8100.0
2006,Ford,Fusion,SEL,automatic,Florida,73790.0,red,tan,d&a fine cars,4900.0
2008,Mercedes-Benz,C-Class,C300 Sport,automatic,Florida,53946.0,black,black,ferco motors corp,14400.0
2014,Ford,Focus,SE,automatic,Florida,90807.0,black,gray,wheels exchange llc,9300.0
2007,Infiniti,G35,Base,automatic,Florida,105309.0,gray,gray,lauderdale infiniti,8250.0
2015,Chevrolet,Corvette,Stingray Z51,automatic,Florida,3819.0,black,black,gm remarketing,56200.0
2011,Dodge,Grand Caravan,Express,automatic,Florida,76614.0,white,beige,mike albert fleet solutions,8500.0
2012,Nissan,Altima,2.5 S,automatic,Florida,37374.0,white,black,nissan-infiniti lt,14000.0
2008,Pontiac,Solstice,Base,automatic,Florida,80573.0,silver,gray,gateway one lending & finance,5500.0
2011,Ford,F-150,Platinum,automatic,Florida,84507.0,brown,brown,brandon ford,25500.0
2010,Ford,F-150,XLT,automatic,Florida,23499.0,—,gray,ford-lincoln dealer program,24400.0
1998,Pontiac,Grand Prix,GT,automatic,Florida,134852.0,black,brown,hertz remarketing,300.0
2013,Toyota,Prius,Two,automatic,Florida,40497.0,black,gray,enterprise veh exchange/rental,15300.0
2010,Mercedes-Benz,S-Class,S550,automatic,Florida,49508.0,black,brown,mercedes-benz financial services,34800.0
2011,Chevrolet,Silverado 1500,LS,automatic,Florida,36416.0,white,black,cire leasing,19300.0
2014,Toyota,Corolla,LE,automatic,Florida,26454.0,black,black,enterprise vehicle exchange / tra / rental / tulsa,9000.0
2009,Dodge,Grand Caravan,SE,automatic,Florida,72871.0,green,gray,autonation toyota scion weston,3600.0
2005,Kia,Sorento,LX,automatic,Florida,189910.0,blue,gray,mid atlantic finance/clearwater,2300.0
2004,Toyota,Corolla,LE,automatic,Florida,68385.0,white,gray,braman motorcars,5200.0
2011,BMW,1 Series,128i,automatic,Florida,44644.0,gold,beige,braman motorcars,14500.0
2014,FIAT,500L,Easy,UNKNOWN,Florida,25550.0,green,gray,pv holidng inc/non pgm,12000.0
2011,UNKNOWN,UNKNOWN,UNKNOWN,automatic,Florida,11423.0,black,tan,world omni financial corporation,12300.0
2011,Nissan,Maxima,3.5 SV,automatic,Florida,34894.0,blue,black,nissan-infiniti lt,16400.0
2014,Toyota,Tundra,SR,automatic,Florida,3917.0,white,gray,world omni financial corporation,25800.0
2013,Nissan,Rogue,S,automatic,Florida,16201.0,silver,black,nissan motor acceptance corporation,14200.0
2014,Ford,Taurus,Limited,automatic,Florida,20615.0,—,tan,avis budget group,19800.0
1997,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Florida,205604.0,gold,tan,wayne akers ford inc,500.0
2009,Infiniti,FX35,Base,automatic,Florida,76031.0,gray,black,santander consumer,14900.0
2011,Toyota,Corolla,LE,automatic,Florida,51512.0,gray,gray,world omni financial corporation,9900.0
2009,Cadillac,CTS,Base,automatic,Florida,38729.0,black,black,d&a fine cars,13800.0
2012,Ford,E-Series Van,E-250,automatic,Florida,57097.0,white,gray,tdaf remarketing,16700.0
2012,Toyota,Camry,LE,automatic,Florida,52527.0,red,beige,world omni financial corporation,11600.0
2013,Chevrolet,Cruze,1LT,automatic,Florida,42581.0,white,black,enterprise veh exchange/rental,11400.0
2013,Chevrolet,Spark,2LT,automatic,Florida,56085.0,silver,tan,the hertz corporation,7800.0
2012,Nissan,Altima,2.5 S,automatic,Florida,38380.0,blue,black,nissan-infiniti lt,12200.0
2012,Chrysler,200,Touring,automatic,Florida,43676.0,silver,black,sullivan auto group llc,10500.0
2003,Nissan,Altima,2.5 SL,automatic,Florida,140844.0,red,beige,courtesy nissan of tampa,500.0
2011,Honda,CR-V,EX-L,automatic,Florida,48591.0,silver,—,gen x motors,15500.0
2013,Hyundai,Sonata,GLS,automatic,Florida,22516.0,silver,gray,merchants leasing,12800.0
2010,Honda,Civic,LX,automatic,Florida,110931.0,red,beige,hyundai of new port richey,6800.0
2013,Volkswagen,Passat,SE PZEV,automatic,Florida,30961.0,—,black,vw credit,11800.0
2012,Ford,Focus,SE,automatic,Florida,55195.0,—,black,wheels exchange llc,8200.0
2013,Chevrolet,Cruze,LTZ,UNKNOWN,Florida,40059.0,brown,black,avis corporation,12800.0
2014,Kia,Sorento,LX,UNKNOWN,Florida,32759.0,silver,black,southeastern car & truck rental,15200.0
2004,Nissan,Quest,3.5 S,automatic,Florida,181823.0,silver,gray,nextgear capital,1700.0
2004,Ford,F-150,Lariat,automatic,Florida,149965.0,beige,tan,lorenzo bomnin chevrolet,4500.0
2014,Chevrolet,Suburban,LTZ 1500,UNKNOWN,Florida,33880.0,gold,black,avis corporation,38400.0
2012,Ford,Expedition,Limited,automatic,Florida,34750.0,white,black,ford motor credit company llc,32400.0
2007,BMW,7 Series,750Li,automatic,Florida,82931.0,black,gold,grow financial fcu,13500.0
2004,Nissan,Maxima,3.5 SL,automatic,Florida,129968.0,silver,black,branford motor 1,3000.0
2009,Ford,Fusion,SEL,automatic,Florida,84172.0,green,beige,capital one auto finance,7100.0
2013,Mercedes-Benz,S-Class,S550,automatic,Florida,21014.0,black,black,mercedes-benz financial services,51500.0
2012,Honda,CR-V,EX,automatic,Florida,69368.0,silver,gray,elder ford of tampa,15900.0
2001,Volvo,S60,2.4T,automatic,Florida,188209.0,silver,gray,mercedes benz of tampa,800.0
2014,Ford,Fusion,SE,automatic,Florida,31929.0,gray,tan,remarketing by ge/sixrentals corp,13000.0
2014,Chevrolet,Traverse,LT,automatic,Florida,20474.0,blue,gray,gm remarketing,24000.0
2012,BMW,5 Series,535i,automatic,Florida,43902.0,gray,black,braman motors,31400.0
2012,Lexus,ES 350,Base,automatic,Florida,29077.0,black,black,lexus of north miami,20800.0
2011,Infiniti,G Sedan,G37 Journey,automatic,Florida,35936.0,black,gray,nissan infiniti lt,20200.0
2013,Mercedes-Benz,C-Class,C250 Sport,automatic,Florida,13038.0,black,black,mercedes-benz financial services,23500.0
2010,GMC,Terrain,SLE-2,automatic,Florida,111869.0,black,black,schumacher auto group inc,8600.0
